"date","wave","wave.day","type","cases.stat"
2020-05-09,"Primera",69,"Spline (df=33)",2818.91034651848
2020-05-09,"Primera",69,"Cambio en spline",0.0301220398989617
2020-05-09,"Primera",69,"Índice (día 1 = 100)",15326.9230769231
2020-05-10,"Primera",70,"Casos",3497
2020-05-10,"Primera",70,"Media móvil de 7 días",2926
2020-05-10,"Primera",70,"Spline (df=33)",2902.07307660361
2020-05-10,"Primera",70,"Cambio en spline",0.0295017293429834
2020-05-10,"Primera",70,"Índice (día 1 = 100)",15755.3846153846
2020-05-11,"Primera",71,"Casos",3214
2020-05-11,"Primera",71,"Media móvil de 7 días",2978.14285714286
2020-05-11,"Primera",71,"Spline (df=33)",2985.81426512511
2020-05-11,"Primera",71,"Cambio en spline",0.0288556443311568
2020-05-11,"Primera",71,"Índice (día 1 = 100)",16036.1538461538
2020-05-12,"Primera",72,"Casos",2922
2020-05-12,"Primera",72,"Media móvil de 7 días",3166.28571428571
2020-05-12,"Primera",72,"Spline (df=33)",3069.97805827272
2020-05-12,"Primera",72,"Cambio en spline",0.0281878863433221
2020-05-12,"Primera",72,"Índice (día 1 = 100)",17049.2307692308
2020-05-13,"Primera",73,"Casos",2842
2020-05-13,"Primera",73,"Media móvil de 7 días",3244.57142857143
2020-05-13,"Primera",73,"Spline (df=33)",3154.40860223619
2020-05-13,"Primera",73,"Cambio en spline",0.0275020024120219
2020-05-13,"Primera",73,"Índice (día 1 = 100)",17470.7692307692
2020-05-14,"Primera",74,"Casos",2873
2020-05-14,"Primera",74,"Media móvil de 7 días",3182
2020-05-14,"Primera",74,"Spline (df=33)",3238.95004320526
2020-05-14,"Primera",74,"Cambio en spline",0.0268010431207722
2020-05-14,"Primera",74,"Índice (día 1 = 100)",17133.8461538462
2020-05-15,"Primera",75,"Casos",4226
2020-05-15,"Primera",75,"Media móvil de 7 días",3352.57142857143
2020-05-15,"Primera",75,"Spline (df=33)",3323.44652736966
2020-05-15,"Primera",75,"Cambio en spline",0.0260876157511782
2020-05-15,"Primera",75,"Índice (día 1 = 100)",18052.3076923077
2020-05-16,"Primera",76,"Casos",3138
2020-05-16,"Primera",76,"Media móvil de 7 días",3423
2020-05-16,"Primera",76,"Spline (df=33)",3407.74220091914
2020-05-16,"Primera",76,"Cambio en spline",0.0253639325487181
2020-05-16,"Primera",76,"Índice (día 1 = 100)",18431.5384615385
2020-05-17,"Primera",77,"Casos",3059
2020-05-17,"Primera",77,"Media móvil de 7 días",3687.71428571429
2020-05-17,"Primera",77,"Spline (df=33)",3491.68121004342
2020-05-17,"Primera",77,"Cambio en spline",0.0246318542234937
2020-05-17,"Primera",77,"Índice (día 1 = 100)",19856.9230769231
2020-05-18,"Primera",78,"Casos",4408
2020-05-18,"Primera",78,"Media móvil de 7 días",3736.28571428571
2020-05-18,"Primera",78,"Spline (df=33)",3575.10770093227
2020-05-18,"Primera",78,"Cambio en spline",0.0238929288987995
2020-05-18,"Primera",78,"Índice (día 1 = 100)",20118.4615384615
2020-05-19,"Primera",79,"Casos",3415
2020-05-19,"Primera",79,"Media móvil de 7 días",3707.28571428571
2020-05-19,"Primera",79,"Spline (df=33)",3657.8658197754
2020-05-19,"Primera",79,"Cambio en spline",0.0231484267792977
2020-05-19,"Primera",79,"Índice (día 1 = 100)",19962.3076923077
2020-05-20,"Primera",80,"Casos",4695
2020-05-20,"Primera",80,"Media móvil de 7 días",3788.28571428571
2020-05-20,"Primera",80,"Spline (df=33)",3739.79971276257
2020-05-20,"Primera",80,"Cambio en spline",0.0223993708419291
2020-05-20,"Primera",80,"Índice (día 1 = 100)",20398.4615384615
2020-05-21,"Primera",81,"Casos",3213
2020-05-21,"Primera",81,"Media móvil de 7 días",3849
2020-05-21,"Primera",81,"Spline (df=33)",3820.7535260835
2020-05-21,"Primera",81,"Cambio en spline",0.0216465638640145
2020-05-21,"Primera",81,"Índice (día 1 = 100)",20725.3846153846
2020-05-22,"Primera",82,"Casos",4023
2020-05-22,"Primera",82,"Media móvil de 7 días",3967.28571428571
2020-05-22,"Primera",82,"Spline (df=33)",3900.59200530508
2020-05-22,"Primera",82,"Cambio en spline",0.0208960035439445
2020-05-22,"Primera",82,"Índice (día 1 = 100)",21362.3076923077
2020-05-23,"Primera",83,"Casos",3705
2020-05-23,"Primera",83,"Media móvil de 7 días",4028.42857142857
2020-05-23,"Primera",83,"Spline (df=33)",3979.2622935027
2020-05-23,"Primera",83,"Cambio en spline",0.0201688072196772
2020-05-23,"Primera",83,"Índice (día 1 = 100)",21691.5384615385
2020-05-24,"Primera",84,"Casos",3484
2020-05-24,"Primera",84,"Media móvil de 7 días",3883
2020-05-24,"Primera",84,"Spline (df=33)",4056.73213312887
2020-05-24,"Primera",84,"Cambio en spline",0.0194683923582173
2020-05-24,"Primera",84,"Índice (día 1 = 100)",20908.4615384615
2020-05-25,"Primera",85,"Casos",5236
2020-05-25,"Primera",85,"Media móvil de 7 días",4021.85714285714
2020-05-25,"Primera",85,"Spline (df=33)",4132.96926663611
2020-05-25,"Primera",85,"Cambio en spline",0.0187927452455303
2020-05-25,"Primera",85,"Índice (día 1 = 100)",21656.1538461538
2020-05-26,"Primera",86,"Casos",3843
2020-05-26,"Primera",86,"Media móvil de 7 días",4049
2020-05-26,"Primera",86,"Spline (df=33)",4207.94143647697
2020-05-26,"Primera",86,"Cambio en spline",0.0181400259726281
2020-05-26,"Primera",86,"Índice (día 1 = 100)",21802.3076923077
2020-05-27,"Primera",87,"Casos",3677
2020-05-27,"Primera",87,"Media móvil de 7 días",4099.71428571429
2020-05-27,"Primera",87,"Spline (df=33)",4281.61638510394
2020-05-27,"Primera",87,"Cambio en spline",0.0175085489518261
2020-05-27,"Primera",87,"Índice (día 1 = 100)",22075.3846153846
2020-05-28,"Primera",88,"Casos",4185
2020-05-28,"Primera",88,"Media móvil de 7 días",4141.71428571429
2020-05-28,"Primera",88,"Spline (df=33)",4353.96185496957
2020-05-28,"Primera",88,"Cambio en spline",0.016896765931044
2020-05-28,"Primera",88,"Índice (día 1 = 100)",22301.5384615385
2020-05-29,"Primera",89,"Casos",4213
2020-05-29,"Primera",89,"Media móvil de 7 días",4379.57142857143
2020-05-29,"Primera",89,"Spline (df=33)",4424.94558852636
2020-05-29,"Primera",89,"Cambio en spline",0.0163032511356919
2020-05-29,"Primera",89,"Índice (día 1 = 100)",23582.3076923077
2020-05-30,"Primera",90,"Casos",4060
2020-05-30,"Primera",90,"Media móvil de 7 días",4448
2020-05-30,"Primera",90,"Spline (df=33)",4494.53532822685
2020-05-30,"Primera",90,"Cambio en spline",0.0157266882288744
2020-05-30,"Primera",90,"Índice (día 1 = 100)",23950.7692307692
2020-05-31,"Primera",91,"Casos",3778
2020-05-31,"Primera",91,"Media móvil de 7 días",4534.28571428571
2020-05-31,"Primera",91,"Spline (df=33)",4562.69881652355
